Id,Score,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32
8657,9,14,6,a,a,0,4,10,a,b,19,c,f,1,36,b,12,c,1,2,b,4,b,1,b,a,3,b,a,a,15,18,a
8658,5,4,6,c,b,0,2,4,e,b,15,c,b,1,75,c,7,a,1,2,a,1,a,3,b,b,9,b,f,b,5,18,b
8659,5,18,1,a,a,0,4,16,e,b,0,d,e,0,70,l,9,i,0,3,a,2,a,1,c,a,12,f,a,b,15,9,b
8660,2,14,5,d,a,0,2,1,e,b,22,c,b,1,49,c,11,a,1,0,a,5,a,2,b,a,19,e,a,b,10,15,b
8661,4,20,0,b,b,1,3,18,e,b,0,d,c,3,88,l,20,f,3,0,a,3,a,1,b,b,12,f,a,b,5,18,b
8662,4,21,6,c,b,1,4,10,e,b,15,d,f,3,65,m,8,i,3,10,b,2,a,1,b,b,13,f,a,b,10,18,b
8663,11,6,10,a,a,0,2,5,a,b,18,d,e,0,66,k,11,i,0,7,a,3,a,1,b,a,10,h,a,b,10,12,a
8664,1,5,10,a,a,0,1,14,d,d,24,c,f,2,67,b,7,a,2,1,b,6,b,1,b,a,14,b,a,b,15,6,b
8665,1,22,6,a,a,0,0,7,e,b,20,c,h,1,66,e,26,d,1,3,a,4,a,1,b,a,6,a,a,b,15,9,b
8666,2,20,0,a,a,0,3,13,c,b,7,d,h,3,95,l,22,g,3,9,a,3,a,1,b,a,14,f,a,b,10,9,b
8667,7,17,10,a,a,0,5,10,a,b,16,c,f,1,42,i,11,c,1,11,b,2,b,1,b,a,17,j,a,b,15,18,a
8668,1,18,6,a,a,0,3,11,e,b,1,d,f,0,40,k,19,i,0,7,a,5,b,3,b,a,11,h,a,b,0,18,b
8669,1,1,10,a,a,0,1,17,e,b,12,a,h,0,43,i,7,a,0,2,a,6,a,3,b,a,5,b,a,b,10,6,b
8670,4,14,6,b,a,0,3,0,e,b,20,d,b,0,32,r,9,f,1,0,b,4,b,2,c,a,6,h,a,b,0,9,a
8671,2,10,1,a,b,0,1,6,e,b,2,e,a,1,61,r,7,g,1,4,b,4,b,3,b,b,9,h,a,b,15,0,b
8672,16,18,1,a,a,0,3,6,e,d,14,d,f,1,95,r,7,i,1,0,a,6,a,2,b,a,14,f,a,b,15,6,b
8673,1,15,5,b,a,0,1,9,e,b,15,c,h,0,33,i,12,c,0,0,b,6,a,1,b,a,7,j,a,b,10,18,b
8674,7,9,1,a,a,0,3,18,b,b,15,d,f,2,54,r,8,i,2,6,a,3,a,2,b,a,7,f,a,d,5,18,a
8675,4,18,6,a,a,0,2,7,c,b,21,d,a,1,48,r,15,g,1,0,b,4,a,1,b,a,7,f,a,b,5,9,b
8676,3,18,10,a,a,0,1,15,a,b,7,d,c,0,55,r,9,i,0,3,a,2,a,1,b,a,15,f,a,d,5,0,a
8677,2,15,0,a,a,0,2,7,e,b,9,e,f,1,40,k,9,i,1,1,a,4,b,2,b,a,6,h,a,b,5,12,b
8678,1,7,1,c,a,0,0,4,e,b,16,d,b,1,39,r,6,i,1,0,a,6,a,1,b,a,5,f,a,a,5,9,b
8679,1,7,6,a,a,0,0,8,e,b,18,c,a,0,71,b,12,f,0,0,b,3,b,3,b,a,14,b,a,b,5,12,b
8680,1,13,6,b,a,0,1,10,e,b,15,c,h,1,49,e,13,c,2,0,b,5,a,1,a,a,3,b,a,b,5,12,b
8681,4,23,1,a,a,0,2,11,a,b,0,d,f,0,78,j,16,i,1,3,b,2,a,1,b,a,10,f,a,d,0,18,a
8682,8,18,10,a,b,0,0,9,d,b,5,d,f,1,44,r,14,i,1,1,a,2,b,1,b,b,4,f,a,d,5,9,b
8683,1,7,1,a,a,0,0,2,b,b,20,c,f,1,24,c,10,a,2,0,b,1,b,2,b,a,3,b,a,b,15,3,b
8684,2,11,10,b,a,0,7,6,d,b,7,c,f,1,60,b,6,a,4,0,b,4,a,3,b,a,9,b,f,b,15,18,a
8685,3,20,10,a,a,0,5,14,c,d,2,c,f,1,42,i,16,c,1,2,a,2,b,2,b,a,14,j,a,b,15,15,b
8686,1,14,6,a,a,0,4,4,e,b,10,d,a,1,9,k,9,g,1,9,a,1,b,3,b,a,8,h,a,b,0,15,b
8687,11,19,1,a,a,0,0,10,e,b,14,d,f,1,56,r,13,i,1,11,b,4,a,1,b,a,16,h,b,b,5,3,b
8688,1,4,10,a,a,0,1,18,c,b,20,d,f,2,65,m,13,i,3,7,b,1,a,1,b,a,11,f,a,b,10,18,b
8689,2,12,10,a,b,0,1,6,e,b,11,c,a,1,73,b,8,a,1,2,a,3,a,1,b,b,4,b,a,b,15,15,b
8690,1,5,6,a,a,0,3,3,e,b,15,c,f,1,58,b,7,a,1,4,b,6,a,3,b,a,13,b,a,b,15,15,b
8691,2,17,0,a,a,0,3,5,e,b,8,d,a,0,91,k,9,g,0,0,a,3,a,2,b,a,17,h,a,b,5,0,b
8692,1,15,6,c,a,0,1,11,e,b,0,c,f,1,30,a,9,f,1,0,a,6,a,1,b,a,2,b,a,a,10,12,b
8693,7,18,6,b,a,0,3,0,d,b,20,d,b,1,33,k,16,f,1,3,a,3,a,1,b,a,2,f,a,b,0,3,b
8694,13,17,10,b,a,0,2,18,e,b,3,d,a,1,24,k,9,f,1,0,a,3,a,1,b,a,8,f,a,b,15,3,a
8695,2,12,1,a,a,0,1,3,d,b,16,c,f,1,60,i,8,b,1,2,b,5,a,1,b,a,13,b,b,b,15,12,b
8696,1,16,1,a,a,0,1,8,e,b,9,c,f,2,96,b,10,f,2,6,a,4,a,2,b,a,13,b,a,b,5,0,b
8697,2,16,5,a,a,0,5,6,e,b,0,d,a,3,91,r,14,i,3,7,a,5,a,1,b,a,14,f,a,b,5,15,b
8698,1,15,1,d,a,0,3,1,e,b,21,a,b,0,46,b,18,a,0,1,b,6,b,1,b,a,21,e,a,b,5,18,b
8699,7,19,10,b,a,0,2,9,e,b,0,d,f,2,28,r,16,f,2,0,a,1,a,1,b,a,13,h,a,b,5,0,b
8700,4,20,6,c,b,0,5,10,e,b,23,d,h,1,58,n,18,i,1,0,b,4,a,1,c,b,11,f,a,b,5,15,b
8701,4,12,10,a,b,0,3,6,a,b,11,d,a,1,76,r,9,h,1,0,b,5,b,2,b,a,8,f,a,b,0,18,a
8702,4,13,10,a,a,0,1,11,a,b,2,e,h,1,56,j,11,g,1,9,a,2,a,1,b,a,12,h,a,b,10,12,a
8703,1,14,10,b,a,0,4,12,e,b,10,d,f,0,57,k,10,f,0,0,a,4,a,1,b,a,3,f,a,b,10,18,b
8704,4,4,10,a,a,0,3,14,c,b,20,c,f,1,54,b,6,a,1,1,a,6,a,3,b,a,13,b,a,b,5,0,b
8705,4,5,6,a,a,0,3,4,e,b,3,d,b,0,91,k,7,i,3,0,a,2,a,3,b,a,4,f,a,b,10,18,b
8706,10,21,10,b,a,0,2,14,a,b,10,d,f,0,4,j,16,f,0,0,b,0,b,1,b,a,2,f,a,b,5,3,a
8707,29,19,6,a,a,0,4,18,d,b,4,d,f,2,48,k,15,i,3,6,a,5,a,1,b,a,8,l,a,b,5,15,b
8708,4,16,10,a,a,0,1,7,e,b,19,e,f,1,34,k,9,i,3,1,b,2,a,1,b,a,3,f,a,b,5,12,b
8709,12,13,10,a,a,0,1,12,c,b,19,a,f,0,31,i,20,c,0,5,a,5,b,1,b,a,14,b,a,b,10,3,b
8710,8,16,6,a,a,0,6,6,e,b,15,d,c,1,81,r,8,i,1,1,b,0,a,1,b,a,17,h,a,b,0,12,b
8711,1,14,6,a,a,0,0,5,e,b,21,d,a,2,21,k,7,i,5,5,b,0,a,1,b,a,6,f,a,b,5,9,b
8712,1,3,1,a,a,0,0,3,e,b,19,c,f,0,48,b,8,a,0,0,a,0,b,3,b,a,9,b,a,b,10,9,b
8713,1,7,1,b,b,0,4,14,e,b,17,c,f,1,49,b,8,a,1,0,b,0,a,3,b,b,13,b,a,b,10,12,b
8714,1,15,6,a,a,0,3,4,c,b,10,d,a,1,97,j,9,i,2,10,a,5,b,3,b,a,17,f,a,b,10,18,b
8715,2,17,6,a,a,0,0,14,e,d,15,d,f,1,36,k,12,i,1,0,b,3,b,1,b,a,7,f,a,b,15,0,b
8716,4,3,1,a,a,0,2,7,a,b,8,c,h,1,34,e,17,c,1,2,b,0,b,3,b,a,3,b,a,b,0,6,a
8717,12,11,6,a,a,0,1,11,e,b,18,e,f,4,44,r,9,i,4,1,a,3,a,1,b,a,15,f,a,b,10,6,b
8718,2,21,5,a,a,0,4,7,a,b,15,d,h,1,65,k,17,g,1,9,a,4,b,1,b,a,12,h,a,d,10,6,a
8719,1,19,1,a,a,0,1,7,d,b,15,d,h,1,98,k,20,g,1,10,b,5,b,1,b,a,14,f,a,b,10,6,b
8720,1,8,5,a,a,0,0,13,e,b,14,c,a,1,85,i,11,f,1,6,b,6,a,3,b,a,10,a,a,b,10,6,b
8721,1,17,10,a,a,0,3,12,e,b,16,d,f,1,47,r,20,i,1,10,b,5,a,1,c,a,15,h,a,b,10,12,b
8722,4,18,6,b,a,0,0,18,c,b,0,c,f,2,14,i,10,a,2,0,b,6,a,1,b,a,10,b,a,b,10,15,b
8723,4,18,6,b,a,0,3,11,a,b,1,c,f,1,53,b,10,c,2,0,a,2,b,2,b,a,7,j,a,b,5,18,a
8724,8,21,1,b,a,0,0,11,e,b,1,d,f,1,53,k,24,f,1,0,b,3,a,1,b,a,4,h,a,b,15,18,b
8725,1,7,6,a,a,0,4,10,e,b,23,c,f,0,43,i,20,c,0,3,b,6,a,1,c,a,11,j,a,b,15,0,b
8726,6,14,10,a,a,0,1,5,e,b,22,c,a,0,63,b,7,a,2,0,a,4,a,3,b,a,12,b,a,b,10,12,b
8727,4,7,5,a,a,0,0,11,a,d,18,c,f,3,60,e,9,c,3,7,b,3,b,1,b,a,11,b,a,b,10,15,a
8728,4,3,10,c,b,0,2,10,e,b,11,c,f,1,61,i,3,c,2,0,a,1,a,1,b,b,6,b,a,b,10,15,b
8729,5,3,1,a,a,0,2,7,a,b,24,e,g,0,74,r,10,g,0,9,b,2,a,3,b,a,14,h,a,b,10,15,b
8730,3,14,5,a,a,0,0,5,a,b,17,d,a,1,20,m,8,g,1,10,a,2,a,3,b,a,12,f,a,b,15,0,a
8731,15,2,10,a,a,0,1,13,e,b,15,a,f,1,84,i,17,f,1,6,b,5,a,2,b,a,7,b,a,b,10,9,b
8732,2,5,6,d,a,0,0,1,e,b,23,c,b,1,53,i,16,a,3,2,b,4,b,2,b,a,7,e,f,b,10,0,b
8733,1,16,1,a,b,0,2,17,e,b,5,c,a,1,65,i,11,c,1,0,b,1,b,3,b,b,5,j,a,b,15,18,a
8734,1,16,10,b,a,0,3,1,e,b,12,d,f,2,46,k,9,f,2,0,b,6,b,1,b,a,9,f,a,b,5,3,b
8735,9,20,6,a,a,0,4,11,b,b,20,c,h,1,36,e,15,c,4,4,a,5,a,1,b,a,6,b,a,b,10,18,a
8736,1,7,5,a,b,0,4,12,e,b,5,c,a,1,84,a,16,c,1,4,a,0,a,1,b,b,10,b,a,b,15,3,b
8737,5,2,1,a,a,0,1,6,e,b,5,c,a,1,98,b,10,a,1,0,a,2,a,3,b,a,20,b,a,b,10,6,b
8738,1,4,1,b,a,0,3,7,e,b,2,c,f,1,48,c,14,f,1,0,b,1,b,1,b,a,7,b,a,b,5,12,b
8739,1,4,1,a,a,0,3,4,c,b,18,c,a,1,60,b,7,a,3,3,a,5,b,3,b,a,6,b,a,b,5,9,b
8740,1,5,10,c,a,0,3,5,e,b,0,d,a,1,44,k,9,i,1,0,b,6,a,3,b,a,4,f,a,b,5,9,b
8741,11,3,1,a,a,0,2,7,a,b,20,c,f,1,63,i,9,f,3,3,a,0,a,1,b,a,7,b,a,b,15,12,a
8742,2,15,6,b,a,0,5,1,e,b,12,c,f,1,51,i,8,b,1,0,a,5,a,1,b,a,3,j,a,a,15,18,b
8743,4,15,5,a,a,0,2,6,c,b,8,a,a,2,87,i,10,a,2,7,b,6,a,1,d,a,15,b,a,b,10,15,b
8744,5,19,6,a,a,0,3,0,d,b,20,d,f,1,40,k,14,i,1,0,a,2,b,1,b,a,11,f,a,b,10,18,b
8745,7,11,1,a,a,0,2,0,c,b,20,d,b,0,35,j,12,i,1,2,b,5,a,1,b,a,16,f,a,c,5,0,b
8746,4,3,10,a,a,0,2,16,e,b,0,d,f,1,51,r,7,i,1,0,a,5,a,3,b,a,9,k,a,b,5,0,b
8747,5,14,6,a,a,0,2,15,a,b,16,c,f,1,26,a,8,b,1,10,a,2,a,1,b,a,12,b,a,b,15,18,a
8748,4,21,1,b,a,0,1,18,a,b,3,d,f,1,7,k,13,f,2,0,a,2,b,1,b,a,1,f,b,b,15,9,a
8749,1,6,10,e,a,0,4,18,b,b,0,d,d,1,97,k,10,f,1,1,a,6,b,2,b,a,11,f,a,b,10,18,a
8750,4,11,5,c,b,0,1,13,e,b,5,c,f,1,57,i,12,c,1,0,a,2,b,3,b,b,6,b,a,b,15,12,b
8751,5,14,1,a,a,0,0,14,a,b,20,a,g,4,28,b,14,f,4,6,a,5,a,1,b,a,10,b,a,b,5,18,a
8752,2,3,6,a,b,0,2,15,a,b,15,c,a,1,22,b,8,a,1,2,b,3,a,3,b,b,3,b,a,b,5,15,a
8753,1,14,5,a,a,0,3,7,e,b,9,c,f,1,38,i,11,f,1,0,b,1,a,1,b,a,2,b,d,b,10,18,b
8754,7,20,6,c,a,0,0,5,d,b,16,c,a,1,66,d,11,a,1,0,a,5,a,3,b,a,14,a,a,b,0,12,b
8755,4,22,1,b,a,0,4,12,a,b,4,c,f,0,52,i,16,f,0,0,a,6,a,1,b,a,9,j,a,b,15,18,a
8756,19,9,6,a,a,0,5,8,b,b,0,d,f,0,43,k,9,i,6,6,a,5,a,1,b,a,11,f,a,b,15,9,a
8757,1,16,6,b,a,0,1,3,c,b,2,d,a,0,71,n,9,f,0,0,a,2,a,1,b,a,11,h,a,b,10,9,b
8758,1,19,10,a,a,0,0,18,e,b,11,d,h,1,81,j,8,g,1,9,a,6,a,1,b,a,18,f,a,b,15,9,b
8759,1,6,1,a,a,0,1,8,a,b,5,c,c,2,58,a,13,a,2,4,a,4,a,1,b,a,9,a,a,b,10,3,a
8760,1,0,10,b,a,0,0,2,a,b,1,d,b,1,12,r,7,f,1,0,b,2,a,1,a,a,1,f,a,b,10,18,a
8761,1,17,5,b,a,0,4,11,e,b,10,d,h,1,51,r,12,f,1,0,a,3,b,1,b,a,11,h,a,b,10,18,b
8762,1,17,1,a,a,0,1,12,e,b,20,d,f,1,81,n,21,i,3,0,b,0,a,1,b,a,16,g,a,b,10,12,b
8763,2,21,6,a,a,0,1,18,a,b,21,c,a,1,73,i,23,c,1,10,b,0,b,1,b,a,18,j,a,b,5,12,a
8764,1,12,6,a,b,0,7,4,e,d,16,c,a,1,85,b,8,a,1,1,b,1,a,1,b,b,13,b,f,b,5,9,b
8765,1,4,5,a,a,0,3,7,e,b,16,c,f,1,33,b,14,f,1,3,a,3,a,1,b,a,11,b,a,b,15,12,b
8766,1,17,1,a,a,0,1,16,d,b,15,d,c,0,46,k,11,i,0,2,b,5,a,3,b,a,2,k,a,b,10,9,b
8767,4,5,10,b,a,0,1,14,a,b,13,c,f,1,12,i,8,a,1,0,a,6,a,1,b,a,0,b,a,b,5,3,a
8768,18,21,6,a,a,0,3,13,e,b,22,d,f,3,68,k,29,i,4,4,b,0,b,1,b,a,9,f,a,b,10,9,b
8769,1,12,1,a,b,0,2,10,e,b,8,c,f,1,75,i,12,c,1,2,a,2,a,1,b,b,12,j,a,b,15,9,b
8770,5,14,10,a,b,0,3,12,c,b,0,c,h,1,90,a,11,a,1,4,b,5,a,1,b,b,7,b,a,b,15,0,b
8771,2,16,1,a,a,0,1,6,c,b,7,d,f,1,91,r,8,i,1,10,b,6,a,1,b,a,12,f,b,d,15,9,b
8772,17,16,10,a,a,0,3,18,a,b,7,c,f,1,49,i,10,f,5,1,b,5,b,2,b,a,11,j,a,d,10,6,a
8773,1,6,6,b,a,0,4,8,a,b,18,c,f,0,69,b,12,c,0,0,b,6,b,1,b,a,4,b,a,b,5,9,a
8774,7,0,10,b,a,0,0,8,a,b,2,a,f,1,74,c,13,c,3,0,b,6,b,1,d,a,4,b,a,b,10,9,a
8775,1,0,1,c,b,1,0,10,e,b,3,c,h,3,78,i,14,c,5,0,a,4,a,1,b,b,12,j,a,b,5,15,b
8776,2,4,10,b,a,0,1,17,e,b,7,d,f,1,40,k,14,f,2,0,b,6,a,2,b,a,10,h,a,b,15,15,b
8777,7,2,6,b,a,0,1,9,e,b,3,c,f,1,24,i,11,c,1,0,a,3,a,1,b,a,2,j,a,c,5,15,b
8778,1,7,10,a,a,0,4,3,c,b,16,c,f,0,67,b,8,a,2,1,a,3,b,3,b,a,4,b,a,b,15,9,b
8779,3,21,1,b,a,2,0,9,d,b,4,c,f,1,10,i,15,c,1,0,a,3,a,1,b,a,3,j,c,b,15,12,b
8780,1,18,5,a,b,1,6,11,e,b,17,d,f,1,65,r,10,i,1,0,b,6,a,1,b,b,14,h,a,b,10,12,b
8781,2,5,6,a,a,1,3,13,d,b,18,c,a,0,32,a,27,f,0,1,a,6,a,1,b,a,9,j,a,b,15,9,b
8782,1,17,6,b,a,0,1,8,a,b,5,d,a,1,76,k,13,f,3,0,b,2,a,1,b,a,3,f,a,b,15,3,a
8783,4,17,6,b,a,0,0,0,e,d,21,e,f,0,43,k,19,f,1,0,b,3,b,1,b,a,3,f,a,b,10,12,b
8784,6,3,1,a,a,0,1,15,b,b,20,d,h,0,24,k,6,g,0,1,a,1,a,1,b,a,9,f,a,b,10,6,a
8785,3,22,6,b,b,1,6,11,c,b,0,c,h,1,42,i,19,c,1,0,a,3,a,1,b,b,14,j,a,b,5,6,a
8786,1,3,6,b,a,0,2,18,d,b,0,c,b,2,28,e,21,f,3,0,a,0,a,3,b,a,10,b,a,b,15,3,b
8787,11,16,1,a,a,0,0,17,e,b,8,c,a,1,15,g,9,c,2,2,b,3,a,1,b,a,10,j,a,b,15,12,b
8788,8,17,5,a,a,0,1,0,b,b,19,a,f,0,18,b,16,a,1,1,b,4,a,1,b,a,13,j,a,c,10,18,a
8789,10,7,10,b,a,0,5,11,a,b,0,d,f,0,41,k,17,f,0,3,a,3,a,1,b,a,11,f,d,b,5,0,a
8790,13,0,6,c,b,0,0,4,e,b,4,d,f,1,92,q,6,i,1,0,b,3,a,1,b,b,12,f,a,b,15,18,b
8791,9,14,5,a,a,0,2,14,c,b,19,c,f,3,87,i,2,c,3,3,a,0,b,1,b,a,12,j,a,b,5,12,b
8792,6,7,10,b,a,0,4,11,e,b,4,c,f,2,68,i,15,c,2,0,a,5,a,1,b,a,14,j,a,b,15,0,b
8793,4,10,5,a,a,0,1,7,a,b,20,c,a,2,75,e,11,c,2,5,b,3,a,1,b,a,12,j,a,b,10,15,a
8794,2,18,6,a,a,0,1,7,e,b,17,d,f,1,53,k,10,i,1,2,a,1,b,1,b,a,4,f,a,b,10,15,b
8795,4,14,6,a,a,0,4,10,e,b,3,c,f,1,57,a,10,c,1,4,b,2,b,1,b,a,14,j,a,b,15,9,b
8796,10,17,10,a,a,0,1,17,e,b,1,d,f,1,34,k,10,i,1,0,a,4,a,1,b,a,4,f,a,b,15,18,b
8797,10,5,1,a,a,0,3,17,e,b,20,c,f,1,29,i,5,b,2,4,a,5,b,3,b,a,7,b,a,b,10,15,a
8798,1,14,1,a,b,0,0,5,e,b,15,d,f,0,95,k,6,i,0,0,b,5,a,3,b,b,19,h,a,b,15,15,b
8799,1,1,6,b,a,0,1,2,a,b,9,d,f,1,53,l,8,f,1,0,b,3,b,3,b,a,7,f,a,b,5,18,a
8800,2,10,10,a,b,0,6,3,c,b,0,d,f,1,93,k,7,i,4,5,b,5,a,1,b,b,10,f,a,b,15,3,b
8801,2,3,5,a,b,0,2,1,e,b,0,c,b,1,90,b,10,a,1,0,a,5,b,3,b,b,9,b,f,d,10,12,b
8802,1,6,6,b,a,0,0,0,e,b,20,c,b,0,31,b,14,a,4,3,a,2,a,2,b,a,7,b,f,b,15,6,a
8803,7,10,6,a,a,0,0,15,c,b,15,c,d,1,64,f,14,b,3,1,b,3,a,1,b,a,9,b,b,b,5,12,b
8804,5,18,10,a,a,0,1,2,e,b,18,c,b,0,96,a,13,f,0,9,a,1,b,1,b,a,13,j,a,b,10,15,b
8805,1,16,10,a,a,0,1,12,e,b,8,d,c,0,16,j,16,i,0,0,a,5,b,3,b,a,14,i,c,b,5,9,b
8806,1,16,1,c,b,0,0,5,e,b,16,d,a,1,71,k,8,i,1,0,b,3,a,1,b,b,13,f,a,b,10,3,b
8807,16,16,10,a,b,0,5,5,e,b,18,c,e,1,77,g,7,a,1,7,a,0,b,1,b,b,16,b,a,b,15,9,b
8808,1,16,10,a,a,0,2,5,c,b,12,c,a,2,54,i,7,b,2,9,a,0,b,2,b,a,19,a,a,b,10,18,b
8809,1,16,0,a,a,0,0,6,a,b,20,c,f,1,39,h,6,b,3,0,a,6,b,3,b,a,11,b,a,b,5,9,a
8810,1,6,10,a,a,0,4,5,e,b,8,a,a,1,68,a,12,a,1,0,a,3,b,3,b,a,12,b,a,b,10,6,b
8811,6,17,5,a,a,0,2,5,d,b,0,d,a,0,90,j,7,g,0,5,b,5,b,1,b,a,20,f,a,b,15,18,b
8812,5,11,6,b,a,0,3,18,e,b,2,f,c,0,39,n,20,f,0,0,a,3,a,1,c,a,1,h,a,b,10,15,b
8813,4,6,10,a,a,0,4,14,e,b,9,d,c,1,75,k,17,i,1,1,b,6,b,1,b,a,6,f,a,b,5,12,b
8814,1,17,1,b,a,0,2,11,a,b,2,c,f,1,51,a,13,f,1,0,a,4,a,1,b,a,3,a,a,b,10,15,a
8815,1,18,1,b,a,0,0,13,a,b,7,d,a,1,68,r,9,f,2,0,b,4,b,1,b,a,5,h,a,b,10,3,a
8816,2,7,6,a,a,0,3,10,c,b,20,c,f,0,66,i,14,c,0,9,b,1,b,1,b,a,14,j,a,b,10,12,b
8817,4,13,6,a,a,0,0,9,d,b,17,c,f,0,41,i,10,c,1,5,a,4,b,1,b,a,8,j,a,b,10,15,b
8818,4,14,0,a,a,0,0,16,e,b,16,d,f,0,56,r,8,i,0,8,a,1,a,1,b,a,18,f,a,d,10,15,b
8819,4,11,6,b,a,0,0,11,c,b,11,c,f,1,55,i,23,c,1,0,a,2,a,1,b,a,3,j,a,b,5,15,b
8820,4,6,10,b,a,0,0,1,e,b,24,c,b,3,58,i,9,a,1,7,b,6,a,3,c,a,5,e,f,b,15,18,b
8821,8,16,5,a,a,0,0,16,e,b,10,c,a,1,33,b,9,c,1,4,a,6,b,3,b,a,11,b,a,b,10,15,b
8822,1,20,1,c,b,0,5,4,e,b,15,d,c,1,41,k,25,i,1,0,a,5,b,3,b,b,3,h,a,b,5,15,b
8823,4,11,0,a,a,0,2,13,e,b,13,c,f,1,69,i,29,f,4,3,a,6,a,1,b,a,18,j,a,b,15,18,b
8824,1,17,10,b,a,0,3,12,a,b,8,c,f,0,39,i,10,a,0,0,a,3,a,1,b,a,15,j,a,b,5,18,a
8825,1,18,10,b,a,0,3,18,a,b,12,d,c,0,41,r,17,f,0,0,b,2,a,1,b,a,4,f,a,b,5,9,a
8826,12,6,5,b,a,2,3,9,d,b,0,d,f,3,11,r,15,f,4,4,b,4,a,1,b,a,5,k,a,b,5,15,b
8827,6,18,6,a,b,0,3,12,c,b,2,a,f,1,30,a,20,c,4,3,a,0,a,1,b,b,11,b,a,b,5,0,b
8828,1,15,6,a,a,0,4,5,e,b,0,a,a,1,42,i,8,a,1,4,a,5,b,1,b,a,10,b,a,b,10,18,b
8829,5,18,10,a,a,0,0,5,e,b,7,c,f,1,84,h,11,b,1,10,a,0,a,3,b,a,12,d,a,b,10,15,b
8830,2,21,1,b,a,0,2,12,e,b,18,d,f,1,32,j,13,f,1,0,b,5,a,2,b,a,5,f,a,b,5,6,b
8831,4,2,5,a,a,0,0,15,d,b,0,d,f,1,59,n,11,i,1,0,b,0,a,3,c,a,6,f,b,b,5,9,a
8832,1,6,1,a,a,0,0,18,a,b,14,d,f,0,26,j,18,i,0,2,b,2,b,3,b,a,7,f,a,b,5,3,a
8833,1,3,10,c,b,0,2,4,e,b,2,d,b,1,75,k,9,i,1,0,a,2,a,1,b,b,6,f,f,b,5,12,b
8834,1,17,10,a,a,0,1,14,c,b,16,d,a,0,46,k,13,g,0,9,b,5,a,1,b,a,15,h,a,b,15,12,b
8835,7,13,6,b,a,0,3,6,a,b,3,c,a,1,57,c,7,a,4,0,b,3,b,1,b,a,9,b,a,b,10,9,a
8836,6,7,10,a,a,0,4,3,d,b,16,c,f,2,89,d,12,b,2,7,b,3,b,1,b,a,11,d,a,b,0,3,b
8837,16,12,1,a,a,0,4,2,e,b,23,d,f,0,50,r,14,i,2,4,a,2,a,2,b,a,9,f,a,b,0,0,b
8838,4,7,1,c,a,0,4,1,e,b,23,c,b,1,55,i,15,a,1,10,b,6,a,1,b,a,9,b,a,b,5,18,b
8839,10,11,10,a,a,0,1,6,a,b,11,d,a,1,98,q,12,i,1,8,a,3,b,1,b,a,16,h,a,b,10,0,a
8840,1,8,1,b,a,0,3,15,c,b,15,d,a,1,34,k,8,f,1,0,b,0,b,3,b,a,4,h,a,b,5,6,b
8841,1,7,1,b,a,0,1,7,e,b,10,c,a,0,35,e,14,f,0,0,a,3,b,3,b,a,4,b,a,b,5,3,b
8842,1,6,10,a,b,0,1,4,e,b,16,a,a,1,8,b,9,a,1,5,b,3,a,3,b,b,7,b,a,b,5,15,b
8843,1,20,1,a,a,0,2,14,b,b,15,c,f,1,41,e,12,f,1,1,b,3,b,1,b,a,5,b,a,b,5,6,b
8844,1,0,6,b,a,0,0,16,a,b,12,d,f,2,25,r,6,f,4,0,b,5,a,1,b,a,9,f,a,b,5,9,a
8845,1,4,5,a,a,0,2,8,a,b,16,c,f,1,46,b,11,c,2,2,a,2,a,1,b,a,2,b,a,b,15,0,a
8846,5,5,1,a,a,0,0,6,c,b,22,d,f,0,63,j,9,i,0,9,a,5,b,1,b,a,17,f,a,b,5,18,b
8847,5,20,1,a,b,0,2,16,c,b,3,c,f,2,78,a,8,b,2,0,b,1,a,3,a,b,16,b,a,d,0,9,a
8848,4,16,6,a,a,0,2,5,e,b,17,c,a,1,44,b,7,a,3,0,a,3,a,3,b,a,5,b,a,b,10,15,b
8849,7,17,6,a,b,2,2,10,e,b,17,c,f,1,65,i,5,c,1,3,a,5,a,1,b,b,8,j,a,b,0,12,b
8850,2,16,1,a,a,0,4,5,e,b,18,a,a,1,54,b,10,a,1,4,b,6,a,1,b,a,11,b,a,b,0,15,a
8851,4,3,10,a,b,0,2,9,e,b,5,d,f,1,42,r,8,i,1,2,b,6,b,1,b,b,5,h,a,b,10,12,b
8852,12,6,5,e,a,0,2,18,d,b,0,d,f,1,22,l,6,f,1,3,a,2,a,1,b,a,15,h,a,b,5,18,b
8853,5,14,6,a,a,0,5,16,d,b,23,d,f,0,81,k,6,i,0,10,a,2,b,1,b,a,17,h,a,b,15,18,b
8854,1,13,10,a,a,0,2,6,e,d,16,c,a,1,78,b,9,a,1,1,b,4,a,1,b,a,11,b,a,b,15,15,b
8855,4,0,10,d,a,0,0,17,a,b,0,d,f,1,60,r,12,f,4,9,b,3,b,1,b,a,6,g,a,b,15,15,a
8856,4,11,5,a,a,0,0,9,e,b,0,c,f,3,29,i,10,c,4,7,a,2,a,1,b,a,11,j,a,b,5,6,b
